region,year,mfn
TB,1118,0.797435897
TB,1119,0.819487179
TB,1120,0.967692308
TB,1121,0.221538462
TB,1122,0.991282051
TB,1123,0.977435897
TB,1124,0.985128205
TB,1125,0.269230769
TB,1126,0.78974359
TB,1127,0.896923077
TB,1128,0.932820513
TB,1129,0.964102564
TB,1130,0.947692308
TB,1131,0.29025641
TB,1132,0.883076923
TB,1133,0.379487179
TB,1134,0.025128205
TB,1135,0.835897436
TB,1136,0.447692308
TB,1137,0.124615385
TB,1138,0.02
TB,1139,0.389230769
TB,1140,0.17025641
TB,1141,0.437948718
TB,1142,0.635897436
TB,1143,0.321538462
TB,1144,0.184615385
TB,1145,0.727179487
TB,1146,0.027179487
TB,1147,0.159487179
TB,1148,0.68974359
TB,1149,0.589230769
TB,1150,0.021025641
TB,1151,0.367692308
TB,1152,0.983076923
TB,1153,0.977435897
TB,1154,0.17025641
TB,1155,0.97025641
TB,1156,0.019487179
TB,1157,0.194871795
TB,1158,0.025641026
TB,1159,0.843076923
TB,1160,0.780512821
TB,1161,0.139487179
TB,1162,0.992307692
TB,1163,0.96974359
TB,1164,0.981538462
TB,1165,0.606153846
TB,1166,0.028205128
TB,1167,0.69025641
TB,1168,0.119487179
TB,1169,0.001538462
TB,1170,0.966153846
TB,1171,0.974358974
TB,1172,0.078974359
TB,1173,0.940512821
TB,1174,0.027179487
TB,1175,0.542051282
TB,1176,0.622564103
TB,1177,0.062564103
TB,1178,0.812820513
TB,1179,0.105128205
TB,1180,0.808205128
TB,1181,0.007692308
TB,1182,0.005641026
TB,1183,0.131794872
TB,1184,0.277948718
TB,1185,0.248717949
TB,1186,0
TB,1187,0.041025641
TB,1188,0.050769231
TB,1189,0.046666667
TB,1190,0.557435897
TB,1191,0.947179487
TB,1192,0.875384615
TB,1193,0.528205128
TB,1194,0.781025641
TB,1195,0.704615385
TB,1196,0.855384615
TB,1197,0.742564103
TB,1198,0.942051282
TB,1199,0.559487179
TB,1200,0.606666667
